Espécie;Região;País;Local;Longitude;Latitude;Autor;Referência;;;;;;
neomorpha;North America;Mexico;     chapulhuacan/hid;-98,54;21,09;Heed W.B. and Wheeler M.R. (1957); Thirteen new species in the ge ... ;;;;;;
neomorpha;Central America;Honduras;     lancetilla;-88;15;Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ... ;;;;;;
neomorpha;Central America;Honduras;     honduras;-87;15;Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ... ;;;;;;
neomorpha;Central America;Panama;     goofy lake;-80;11;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;Caribbean Islands;West Indies, Antilles;     arima;-61,17;10,58;Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ... ;;;;;;
neomorpha;Caribbean Islands;West Indies, Antilles;     trinidad/west;-61,3;10,3;Heed W.B. (1957); A preliminary note on the card ... ;;;;;;
neomorpha;Central America;Panama;     fort sherman;-79,57;9,21;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;Central America;Panama;     almirante;-82,22;9,2;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;Central America;Panama;     frijoles;-79,48;9,11;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;Central America;Panama;     barro colorado;-79,5;9,08;Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ... ;;;;;;
neomorpha;Central America;Panama;     gamboa;-79,42;9,07;De Toni D.C. et al. (2006); Reference photomap of the sali ... ;;;;;;
neomorpha;Central America;Panama;     panama;-79;9;Brisson J.A. et al. (2006); Phylogenetic analysis of the c ... ;;;;;;
neomorpha;Central America;Panama;     camaron;-79,34;8,59;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;Central America;Costa Rica;     costa rica;-85,17;8,55;Brisson J.A. et al. (2006); Phylogenetic analysis of the c ... ;;;;;;
neomorpha;Central America;Panama;     capira;-79,51;8,48;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;Central America;Panama;     el volcan/panama;-82,4;8,45;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;Central America;Panama;     el valle/panama;-80,08;8,36;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;Central America;Panama;     cerro campana;-81,17;8,26;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;Central America;Panama;     el real/panama;-77,42;8,06;Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
neomorpha;South America;Colombia;     rio raposo;-75;4;Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ... ;;;;;;
neomorpha;South America;Brazil;     caxiuana;-51,27;-1,44;De Toni D.C. et al. (2005); First record of Drosophila par ... ;;;;;;
neomorpha;South America;Brazil;     urucu;-35;-8,17;Prudente A.L. da Costa et al. (2008); Fauna. In: Biodiversidade na P ... ;;;;;;
neomorpha;North America;Mexico;     alta floresta;-56,14;-9,53;De Toni D.C. et al. (2005); First record of Drosophila par ... ;;;;;;
neomorpha;South America;Brazil;     parana/to;-47,37;-12,52;da Mata R.A. et al. (2008); Drosophilids (Insecta; Diptera ... ;;;;;
neomorpha;South America;Brazil;RECOR;-47,52;-15,55;Roque & Tidon, 2012;;;;;;;
neomorpha;South America;Brazil;     joinville/sc;-48,51;-26,18;Doge J.S. et al. (2008); Drosophilids (Diptera) from an ... ;;;;;;
;;;;;;;;;;;;;